DEBUG ; Personaje::Personaje se mueve a la derecha ; Mon Jun 10 23:55:00 2019
DEBUG ; Personaje::Personaje se mueve a la izquierda ; Mon Jun 10 23:55:00 2019
DEBUG ; Personaje::Personaje se mueve a la derecha ; Mon Jun 10 23:55:00 2019
DEBUG ; Personaje::Personaje se mueve a la izquierda ; Mon Jun 10 23:55:00 2019
DEBUG ; Personaje::Personaje se mueve a la derecha ; Mon Jun 10 23:55:00 2019
DEBUG ; Personaje::Personaje se mueve a la izquierda ; Mon Jun 10 23:55:00 2019
DEBUG ; Personaje::Personaje se mueve a la derecha ; Mon Jun 10 23:55:00 2019
DEBUG ; Personaje::Personaje se mueve a la izquierda ; Mon Jun 10 23:55:00 2019
DEBUG ; Personaje::Personaje se mueve a la derecha ; Mon Jun 10 23:55:00 2019
DEBUG ; Personaje::Personaje se mueve a la izquierda ; Mon Jun 10 23:55:00 2019
DEBUG ; Personaje::Personaje se mueve a la derecha ; Mon Jun 10 23:55:00 2019
DEBUG ; Personaje::Personaje se mueve a la izquierda ; Mon Jun 10 23:55:00 2019
DEBUG ; Personaje::Personaje se mueve a la derecha ; Mon Jun 10 23:55:00 2019
DEBUG ; Personaje::Personaje se mueve a la izquierda ; Mon Jun 10 23:55:00 2019
DEBUG ; Personaje::Personaje se mueve a la derecha ; Mon Jun 10 23:55:00 2019
DEBUG ; Personaje::Personaje se mueve a la izquierda ; Mon Jun 10 23:55:00 2019
DEBUG ; Personaje::Personaje se mueve a la derecha ; Mon Jun 10 23:55:00 2019
DEBUG ; Personaje::Personaje se mueve a la izquierda ; Mon Jun 10 23:55:00 2019
DEBUG ; Personaje::Personaje se mueve a la derecha ; Mon Jun 10 23:55:00 2019
DEBUG ; Personaje::Personaje se mueve a la izquierda ; Mon Jun 10 23:55:00 2019
DEBUG ; Personaje::Personaje se mueve a la derecha ; Mon Jun 10 23:55:00 2019
DEBUG ; Personaje::Personaje se mueve a la izquierda ; Mon Jun 10 23:55:00 2019
DEBUG ; Juego::Jugador 2 salta ; Mon Jun 10 23:55:00 2019
DEBUG ; Personaje::Personaje se mueve a la derecha ; Mon Jun 10 23:55:00 2019
DEBUG ; Personaje::Personaje se mueve a la derecha ; Mon Jun 10 23:55:00 2019
DEBUG ; Juego::Jugador 1 salta ; Mon Jun 10 23:55:00 2019
