Archivo de logging creado! ; Sun Apr  7 19:56:21 2019
DEBUG ; Jugador 2 salta ; Sun Apr  7 19:56:34 2019
DEBUG ; Jugador 1 a la izquierda ; Sun Apr  7 19:56:34 2019
DEBUG ; Jugador 2 a la izquierda ; Sun Apr  7 19:56:34 2019
DEBUG ; Jugador 2 salta ; Sun Apr  7 19:56:34 2019
DEBUG ; Jugador 1 a la izquierda ; Sun Apr  7 19:56:34 2019
DEBUG ; Jugador 2 a la izquierda ; Sun Apr  7 19:56:34 2019
DEBUG ; Jugador 2 salta ; Sun Apr  7 19:56:34 2019
DEBUG ; Jugador 1 a la izquierda ; Sun Apr  7 19:56:34 2019
DEBUG ; Jugador 2 a la izquierda ; Sun Apr  7 19:56:34 2019
DEBUG ; Jugador 2 salta ; Sun Apr  7 19:56:34 2019
DEBUG ; Jugador 1 a la izquierda ; Sun Apr  7 19:56:34 2019
DEBUG ; Jugador 2 a la izquierda ; Sun Apr  7 19:56:34 2019
DEBUG ; Jugador 2 salta ; Sun Apr  7 19:56:34 2019
DEBUG ; Jugador 1 a la izquierda ; Sun Apr  7 19:56:34 2019
DEBUG ; Jugador 2 a la izquierda ; Sun Apr  7 19:56:34 2019
DEBUG ; Jugador 2 salta ; Sun Apr  7 19:56:34 2019
DEBUG ; Jugador 1 a la izquierda ; Sun Apr  7 19:56:34 2019
DEBUG ; Jugador 2 a la izquierda ; Sun Apr  7 19:56:34 2019
DEBUG ; Jugador 1 a la izquierda ; Sun Apr  7 19:56:34 2019
DEBUG ; Jugador 2 a la izquierda ; Sun Apr  7 19:56:34 2019
DEBUG ; Jugador 1 a la izquierda ; Sun Apr  7 19:56:34 2019
DEBUG ; Jugador 2 a la izquierda ; Sun Apr  7 19:56:34 2019
DEBUG ; Jugador 1 a la izquierda ; Sun Apr  7 19:56:34 2019
DEBUG ; Jugador 2 a la izquierda ; Sun Apr  7 19:56:34 2019
DEBUG ; Jugador 1 a la izquierda ; Sun Apr  7 19:56:34 2019
DEBUG ; Jugador 2 a la izquierda ; Sun Apr  7 19:56:34 2019
DEBUG ; Jugador 1 a la izquierda ; Sun Apr  7 19:56:34 2019
DEBUG ; Jugador 1 a la izquierda ; Sun Apr  7 19:56:34 2019
DEBUG ; Jugador 1 a la izquierda ; Sun Apr  7 19:56:34 2019
DEBUG ; Jugador 1 a la izquierda ; Sun Apr  7 19:56:34 2019
DEBUG ; Jugador 1 a la izquierda ; Sun Apr  7 19:56:34 2019
DEBUG ; Jugador 1 a la izquierda ; Sun Apr  7 19:56:34 2019
DEBUG ; Jugador 1 agachado ; Sun Apr  7 19:56:34 2019
DEBUG ; Jugador 1 a la izquierda ; Sun Apr  7 19:56:34 2019
DEBUG ; Jugador 1 agachado ; Sun Apr  7 19:56:34 2019
DEBUG ; Jugador 1 a la izquierda ; Sun Apr  7 19:56:34 2019
DEBUG ; Jugador 1 agachado ; Sun Apr  7 19:56:34 2019
DEBUG ; Jugador 1 a la izquierda ; Sun Apr  7 19:56:34 2019
DEBUG ; Jugador 1 agachado ; Sun Apr  7 19:56:34 2019
DEBUG ; Jugador 1 a la izquierda ; Sun Apr  7 19:56:34 2019
DEBUG ; Jugador 2 a la derecha ; Sun Apr  7 19:56:34 2019
DEBUG ; Jugador 2 a la derecha ; Sun Apr  7 19:56:34 2019
DEBUG ; Jugador 1 a la derecha ; Sun Apr  7 19:56:34 2019
DEBUG ; Jugador 2 a la derecha ; Sun Apr  7 19:56:34 2019
DEBUG ; Jugador 1 a la derecha ; Sun Apr  7 19:56:34 2019
DEBUG ; Jugador 2 a la derecha ; Sun Apr  7 19:56:34 2019
DEBUG ; Jugador 1 a la derecha ; Sun Apr  7 19:56:34 2019
DEBUG ; Jugador 1 a la izquierda ; Sun Apr  7 19:56:34 2019
DEBUG ; Jugador 2 a la derecha ; Sun Apr  7 19:56:34 2019
