DEBUG ; Juego::Jugador 1 salta ; Tue May 21 14:33:35 2019
DEBUG ; Juego::Jugador 1 salta ; Tue May 21 14:33:35 2019
DEBUG ; Juego::Jugador 1 salta ; Tue May 21 14:33:36 2019
DEBUG ; Personaje::Personaje en el limite derecho. Se corre el oponente a la izquierda ; Tue May 21 14:33:36 2019
DEBUG ; Juego::Jugador 1 salta ; Tue May 21 14:33:36 2019
DEBUG ; Juego::Jugador 1 salta ; Tue May 21 14:33:36 2019
DEBUG ; Personaje::Personaje se mueve a la izquierda ; Tue May 21 14:33:37 2019
DEBUG ; Personaje::Personaje se mueve a la izquierda ; Tue May 21 14:33:37 2019
DEBUG ; Personaje::Personaje se mueve a la izquierda ; Tue May 21 14:33:37 2019
DEBUG ; Personaje::Personaje se mueve a la izquierda ; Tue May 21 14:33:37 2019
DEBUG ; Personaje::Personaje se mueve a la izquierda ; Tue May 21 14:33:37 2019
DEBUG ; Personaje::Personaje se mueve a la izquierda ; Tue May 21 14:33:37 2019
DEBUG ; Personaje::Personaje se mueve a la izquierda ; Tue May 21 14:33:37 2019
DEBUG ; Personaje::Personaje se mueve a la izquierda ; Tue May 21 14:33:37 2019
